201
0.0 0.14293875865338132  281125756.00941175 278011598.9944026
0.0 0.11581170705884358  285944370.9577534 283512353.5893771
0.0 0.09120817686363684  290770926.9217441 288796058.0889827
0.0 0.06926001313629572  295949182.15300596 294232801.1718815
0.0 0.05030643099300212  301810772.99489224 300201849.15702105
0.0 0.03464389102658702  308661963.1335722 307072635.66492563
0.0 0.02231764676667797  316765074.4442494 315152901.05549735
0.0 0.013175773904641338  326477687.65710646 324813501.6544869
0.0 0.006931242217412661  338224548.1539339 336501771.358751
0.0 0.0031405749175240287  352283957.1642394 350497370.4169109
0.0 0.0011841939049105454  369296508.34989375 367423549.77217525
0.0 0.0003627477353691479  390048696.8021999 388069783.40591794
0.0 9.012763152944073e-05  415414715.25447 413304393.1610571
0.0 1.834498158385603e-05  446725235.2402522 444453107.84086436
0.0 2.991494054230362e-06  485605161.2417586 483147225.6579289
0.0 3.4326933120317984e-07  534335661.055034 531665719.384168
0.0 2.101743168495553e-08  596408307.8782324 593523023.2783839
0.0 4.72169528825456e-10  675345838.4393632 672361481.1352049
0.0 2.7725257835617665e-12  769841798.4610077 766945194.5260236
0.0 3.463420875096609e-15  877576803.1929301 874854198.254609
0.0 7.458992228720022e-19  1000206206.9838789 997650166.3524283
0.0 1.9208664012570053e-23  1140858996.3578143 1138467524.9512491
0.0 3.4091978626412374e-29  1300397112.2068975 1298164949.3746042
0.0 2.161188811425703e-36  1483333283.0879445 1481255585.4826782
0.0 2.3766911424866266e-45  1691473094.912801 1689557476.6757212
0.0 1.6414998309547495e-56  1929208727.2384124 1927452419.7991645
0.0 9.328669585652814e-71  2200753277.7481346 2199151103.329218
0.0 1.2456263234593322e-89  2511576453.6741943 2510125283.1414332
0.0 1.9060916949661649e-115  2865398277.4943085 2864091627.812078
0.0 3.593755950260803e-151  3269665812.6762347 3268494319.304608
0.0 1.3828150153573243e-200  3727935446.952401 3726894656.1370893
0.0 4.459737389405363e-269  4250195604.255907 4249278066.6354017
0.0 0.0  4846620891.297635 4845809447.626387
0.0 0.0  5527171779.876149 5526448675.003318
0.0 0.0  6303494950.697628 6302850710.866346
0.0 0.0  7189061209.063146 7188475523.0077715
0.0 0.0  8200612230.53836 8200085315.757134
0.0 0.0  9355189552.68234 9354338726.630318
